sheet_tab,title,isbn,creator,subject_code,subject,publisher,date,language,collector,sourceURL
DS_main,Em bé thông minh,,Dân gian truyền miệng,L,Văn học & Tiểu thuyết,Không rõ,,vi,Nguyễn Đoàn Xuân Thu,
DS_main,Gánh hàng hoa,9786044996349,"Khái Hưng, Nhất Linh",L,Văn học & Tiểu thuyết,NXB Hội Nhà Văn,1934,vi,Ngô Thanh Tùng,
DS_main,Giết chó khuyên chồng,,Dân gian truyền miệng,L,Văn học & Tiểu thuyết,Không rõ,Không rõ,vi,Nguyễn Đoàn Xuân Thu,
DS_main,Gió đầu mùa,9786043913569,Thạch Lam,L,Văn học & Tiểu thuyết,NXB Văn Học,2022,vi,Ngô Thanh Tùng,
DS_main,Giông tố,9786043494785,Vũ Trọng Phụng,L,Văn học & Tiểu thuyết,Nhà xuất bản Văn Thanh,1937,vi,Ngô Thanh Tùng,
DS_main,Hạ đỏ,9786326183641,Nguyễn Nhật Ánh,L,Văn học & Tiểu thuyết,NXB Trẻ,1991,vi,Ngô Thanh Tùng,
DS_main,Hà Nội 36 Phố Phường,9786043498264,Thạch Lam,L,Văn học & Tiểu thuyết,NXB Văn Học,1943,vi,Ngô Thanh Tùng,
DS_main,Hai vạn dặm dưới đáy biển,9786326173772,Jules Verne,L,Văn học & Tiểu thuyết,NXB Dân Trí,2022,vi,Ngô Thanh Tùng,
DS_main,Hành trình về phương Đông,9786326065190,Dr. Blair T. Spalding,L,Văn học & Tiểu thuyết,Giáo sư Nguyên Phong,1987,vi,Ngô Thanh Tùng,
DS_main,Harry Potter và hòn đá phù thủy,9786041084247,J. K. Rowling,L,Văn học & Tiểu thuyết,NXB Trẻ,2016,vi,Ngô Thanh Tùng,
DS_main,Hãy chăm sóc mẹ,9786044448640,Shin Kyung Sook,L,Văn học & Tiểu thuyết,NXB Hà Nội,2011,vi,Ngô Thanh Tùng,
DS_main,Hiệu ứng chim mồi - tập 1,9786048097646,Hạo Nhiên và Quốc Khánh,L,Văn học & Tiểu thuyết,NXB Kinh Tế TP.HCM,2016,vi,Ngô Thanh Tùng,
DS_main,Hiệu ứng chim mồi - tập 2,9786049227066,Hạo Nhiên và Quốc Khánh,L,Văn học & Tiểu thuyết,NXB Kinh Tế TP.HCM,2016,vi,Ngô Thanh Tùng,
DS_main,Hoàng Lê nhất thống chí,9786044912721,Ngô Gia Văn Phái,H,Lịch sử,NXB Văn học,1964,vi,Ngô Thanh Tùng,
DS_main,Hoàng tử bé,8935235221734,Antoine de Saint-Exupéry,L,Văn học & Tiểu thuyết,NXB Hội Nhà văn,2008,vi,Hồ Khổng Tuyết Như,
DS_main,Hoàng tử Ếch,9786326176186,Không rõ,L,Văn học & Tiểu thuyết,Không rõ,,vi,Ngô Thanh Tùng,
DS_main,Hồ,9786326150872,Banana Yoshimoto,L,Văn học & Tiểu thuyết,NXB Hội Nhà Văn,2014,vi,Ngô Thanh Tùng,
DS_main,"Hồn Trương Ba, da hàng thịt",,Dân gian truyền miệng,L,Văn học & Tiểu thuyết,Không rõ,Không rõ,vi,Nguyễn Đoàn Xuân Thu,
DS_main,Jane Eyre,9786044963297,Charlotte Bronte,L,Văn học & Tiểu thuyết,NXB Văn Học,2019,vi,Ngô Thanh Tùng,
DS_main,Kéo Búa Bao – Lý Thuyết Trò Chơi Ứng Dụng Trong Cuộc Sống Thường Ngày,9786049463242,Len Fisher,Y,Tâm lý học & Phát triển cá nhân,Nhà Xuất Bản Đại Học Kinh Tế Quốc Dân,2023,vi,Bùi Minh Quân,
DS_main,Kẹp hạt dẻ và vua chuột,9786043824155,E. T. A. Hoffmann,L,Văn học & Tiểu thuyết,NXB Thanh Niên,2020,vi,Ngô Thanh Tùng,
